text,deck
 -  kid - tested mother - approved.,unassigned
 - : good to the last drop.,unassigned
 - ? There's an app for that.,unassigned
 - . Betcha can't have just one.,unassigned
 - . High five bro.,unassigned
 - . It's a trap!,unassigned
 - . That's how I want to die.,unassigned
"(Draw 2, Pick 3)  -  +  -  =  - ",unassigned
"(Draw 2, Pick 3) I went from – to  - , all thanks to.",unassigned
"(Draw 2, Pick 3) Make a haiku.",unassigned
(Pick 2)  -  would be woefully incomplete without  - .,unassigned
(Pick 2) – is a slippery slope that leads to  - .,unassigned
(Pick 2) An international tribunal has found – guilty of  - .,unassigned
(Pick 2) An the Academy Award for – goes to  - .,unassigned
"(Pick 2) Before  - , all we had was - .",unassigned
"(Pick 2) Dear Sir or Madam, We regret to inform you that the office of – has denied your request for  - .",unassigned
"(Pick 2) For my next trick, I will pull – out of  - .",unassigned
(Pick 2) I never truly understood – until I encountered  - .,unassigned
"(Pick 2) I spent my whole life working toward  - , only to have it ruined by  - .",unassigned
"(Pick 2) If God didn't want us to enjoy  - , he wouldn't have given us  - .",unassigned
"(Pick 2) In a pinch,  -  can be a suitable substitute for  - .",unassigned
"(Pick 2) In a world ravaged by  - , our only solace is  - .",unassigned
"(Pick 2) In M. Night Shamalan's new movie, Bruce Willis discovers that – had really been – all along.",unassigned
"(Pick 2) Lifetime presents  - , the story of  - .",unassigned
(Pick 2) Michael Bay's new three - hour action epic pits – against  - .,unassigned
(Pick 2) Rumor has it that Vladimir Putin's favorite dish is – stuffed with  - .,unassigned
(Pick 2) Step 1:  -  Step 2 -  Step 3: Profit.,unassigned
(Pick 2) That's right I killed  - . How you ask?  - .,unassigned
(Pick 2) What's the next superhero/sidekick duo?,unassigned
(Pick 2) When I was tripping on acid – turned into  - .,unassigned
(Pick 2) You haven't truly lived until you've experienced – and – at the same time.,unassigned
A romantic candlelit dinner would be incomplete without  - .,unassigned
"After blacking out during New Year's Eve, I was awoken by  - .",unassigned
"After months of debate, the Occupy Wall Street General Assembly could only agree on “More  - !”",unassigned
"After the earthquake, Sean Penn bought – to the people of Haiti.",unassigned
Alternative medicine is now embracing the curative powers of  - .,unassigned
"And I would have gotten away with it, too, if it hadn't been for  - .",unassigned
Anthropologists have recently discovered a primitive tribe that worships  - .,unassigned
"Before I run for president, I must destroy all evidence of my involvement with  - .",unassigned
BILLY MAYS HERE FOR  - .,unassigned
"But before I kill you, Mr. Bond, I must show you  - .",unassigned
Charades was ruined for me forever when my mom had to act out  - .,unassigned
"Coming to Broadway this season,  - : The Musical.",unassigned
"Dear Abby, I'm having some trouble with – and would like your advice.",unassigned
"During his midlife crisis, my dad got really into  - .",unassigned
"During Picasso's often - overlooked Brown Period, he produced hundreds of paintings of  - .",unassigned
"During sex, I like to think about  - .",unassigned
Every Christmas my uncle gets drunk and tells the story about  - .,unassigned
Everyone down on the ground! We don't want to hurt anyone. We're just here for  - .,unassigned
He who controls – controls the world.,unassigned
How am I maintaining my relationship status.,unassigned
"I do not know with what weapons World War III will be fought, but World War IV will be fought with.",unassigned
I drink to forget  - .,unassigned
I got 99 problems but – ain't one.,unassigned
I learned the hard way that you can't cheer up a grieving friend with  - .,unassigned
"I'm sorry professor, but I couldn't complete my homework because of  - .",unassigned
"In 1,000 years when paper money is but a distant memory,  -  will be our currency.",unassigned
"In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on  - .",unassigned
"In his new self - produced album, Kanye West raps over the sounds of  - .",unassigned
"In his newest and most difficult stunt, David Blaine must escape from  - .",unassigned
"In its new tourism campaign, Detroit proclaims that it has finally eliminated  - .",unassigned
"In L.A. county Jail, word is you can trade 200 cigarettes for  - .",unassigned
"In Michael Jackson's final moments, he thought about  - .",unassigned
